Id,Model,Price,Age_08_04,Mfg_Year,KM,HP,cc,Doors,Gears,Quarterly_Tax,Weight
213,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,2001,80425,90,2000,5,5,210,1205
214,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,11790,34,2001,78677,110,1600,5,5,85,1105
215,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11450,40,2001,78425,110,1600,5,5,85,1075
216,TOYOTA Corolla 2.0 D4D HATCHB SOL 2/3-Doors,13500,33,2001,78108,90,2000,3,5,210,1170
217,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10950,33,2001,77321,110,1600,5,5,85,1075
218,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,2001,75699,69,1900,3,5,185,1105
219,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,41,2001,75697,97,1400,3,5,69,1025
220,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,44,2001,74846,97,1400,3,5,69,1025
221,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,38,2001,74319,110,1600,5,5,85,1075
222,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,11950,43,2001,74285,110,1600,5,5,85,1075
223,TOYOTA Corolla 1.6 HB LINEA SOL 4/5-Doors,12450,44,2001,74172,110,1600,5,5,163,1615
224,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,40,2001,73042,110,1598,5,5,85,1075
225,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,14950,44,2001,71793,110,1600,4,5,197,1067
226,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,35,2001,71200,110,1600,5,5,85,1075
227,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,38,2001,67805,110,1600,5,5,85,1075
228,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11950,35,2001,65988,110,1600,3,5,69,1040
229,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11690,34,2001,65345,97,1400,5,5,85,1060
230,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12450,42,2001,64564,110,1600,5,5,85,1080
231,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12750,36,2001,63459,97,1400,5,5,85,1060
232,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11925,44,2001,63451,97,1400,3,5,69,1025
233,TOYOTA Corolla LIFTBACK 1.6-16v Linea Luna 4/5-Doors,12950,33,2001,62000,110,1600,5,5,19,1075
234,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,11950,42,2001,61300,97,1400,3,5,69,1030
235,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12900,41,2001,61200,110,1600,3,5,69,1045
236,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11900,41,2001,61000,110,1600,5,5,85,1075
237,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11650,38,2001,60829,110,1600,5,5,85,1075
238,TOYOTA Corolla 1.6 VVTI Linea Terra liftback 4/5-Doors,10950,44,2001,60500,110,1600,5,5,85,1075
239,TOYOTA Corolla 1.9 D HB SOL 2/3-Doors,13950,35,2001,59500,69,1900,3,5,64,1110
240,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL AUT4 4/5-Doors,13950,44,2001,59000,110,1600,5,5,85,1110
241,TOYOTA Corolla 1.6 VVT-i Linea Sol 4/5-Doors,11950,40,2001,58954,110,1600,5,5,85,1080
242,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,10950,38,2001,58798,110,1600,5,5,85,1075
243,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,12450,38,2001,58363,110,1600,3,5,85,1055
244,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11950,43,2001,58277,110,1600,3,5,69,1045
245,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,13500,33,2001,57711,90,2000,3,5,210,1165
246,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11690,33,2001,57269,110,1600,5,5,85,1075
247,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13500,39,2001,56001,110,1600,5,5,85,1075
248,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,11950,42,2001,55968,110,1600,3,5,69,1050
249,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,12900,39,2001,55678,110,1600,4,5,69,1030
250,TOYOTA Corolla 1.6 16V WAGON LINEA TERRA Stationwagen,13500,43,2001,55539,110,1600,5,5,85,1085
251,TOYOTA Corolla 1.6 GL LB 4/5-Doors,11750,42,2001,55400,110,1600,5,5,85,1075
252,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,33,2001,55350,110,1600,5,5,85,1075
253,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10850,43,2001,54600,110,1600,4,5,69,1030
254,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11750,43,2001,53773,110,1600,5,5,85,1075
255,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,14950,42,2001,53719,110,1600,5,5,85,1105
256,TOYOTA Corolla 1.6 Terra 5-Doors Liftback 4/5-Doors,9940,39,2001,53644,110,1600,5,5,19,1075
257,TOYOTA Corolla 1.6-16v Linea Terra LB 4/5-Doors,12900,42,2001,53350,110,1600,5,5,85,1075
258,TOYOTA Corolla 1.6I Luna liftback 4/5-Doors,13500,38,2001,53000,110,1600,5,5,85,1075
259,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,44,2001,52084,97,1400,3,5,69,1025
260,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,44,2001,52000,97,1400,3,5,69,1025
261,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,33,2001,51945,110,1600,5,5,85,1075
262,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,2001,51732,97,1400,3,5,69,1025
263,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12495,39,2001,50873,110,1600,5,5,85,1075
264,TOYOTA Corolla 1.6 Linea Terra Sedan 4/5-Doors,13500,41,2001,50856,110,1600,4,5,69,1030
265,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,40,2001,50640,110,1600,5,5,85,1075
266,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12000,39,2001,50000,97,1400,5,5,85,1060
267,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,11950,38,2001,49500,110,1600,5,5,85,1075
268,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12495,44,2001,49332,110,1600,5,5,85,1080
269,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12450,34,2001,49291,110,1600,3,5,69,1040
270,TOYOTA Corolla 2.0 D4D LIFTB SOL 4/5-Doors,14750,40,2001,48952,90,2000,5,5,210,1205
271,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,39,2001,48945,110,1600,3,5,69,1040
272,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,33,2001,48928,69,1900,3,5,185,1105
273,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,12950,38,2001,48197,110,1600,5,5,85,1075
274,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,13500,35,2001,48052,69,1900,3,5,185,1105
275,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,13450,34,2001,48011,110,1600,4,5,69,1030
276,TOYOTA Corolla 1.6 Terra LB 4/5-Doors,13500,43,2001,48000,110,1600,5,5,85,1075
277,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11480,41,2001,47350,110,1600,5,5,85,1075
278,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,13450,39,2001,46821,97,1400,5,5,85,1060
279,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11495,39,2001,46694,110,1600,3,5,69,1040
280,TOYOTA Corolla 1.4 VVTI L.Terra HB 4/5-Doors,12750,43,2001,46515,97,1400,5,5,69,1025
281,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,38,2001,46327,110,1600,3,5,85,1055
282,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,2001,46304,97,1400,5,5,85,1060
283,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,2001,45886,110,1600,5,5,85,1080
284,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,12850,39,2001,45713,97,1400,5,5,19,1085
285,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA AUT4 4/5-Doors,13950,40,2001,45600,110,1600,5,5,85,1105
286,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,2001,45287,110,1600,5,5,85,1075
287,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,2001,45081,110,1600,5,5,85,1075
288,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11700,40,2001,44830,110,1600,5,5,85,1075
289,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,37,2001,44757,97,1400,3,5,69,1025
290,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,44,2001,44218,97,1400,5,5,85,1060
291,TOYOTA Corolla 1.6 16V VVT I WAGON BLUE Stationwagen,12950,43,2001,43632,110,1600,5,5,85,1075
292,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,36,2001,43427,110,1600,3,5,69,1040
293,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13875,39,2001,43254,110,1600,5,5,85,1075
294,TOYOTA Corolla 1.6 16V HATCHB LINEA TERRA 2/3-Doors,10500,35,2001,43000,110,1600,3,5,69,1050
295,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12295,33,2001,42823,110,1600,5,5,85,1075
296,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,42,2001,42560,110,1600,5,5,85,1080
297,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,2001,41754,110,1600,3,5,69,1040
298,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,44,2001,41499,110,1600,5,5,197,1103
299,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12850,40,2001,41339,110,1600,5,5,85,1080
300,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13995,35,2001,41000,110,1600,5,5,85,1075
301,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13750,39,2001,40000,110,1600,3,5,85,1055
302,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12750,37,2001,39757,110,1600,5,5,85,1075
303,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12500,41,2001,39659,110,1600,3,5,69,1045
304,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,13950,43,2001,39650,110,1600,3,5,85,1055
305,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,39,2001,39524,97,1398,3,5,69,1025
306,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,13950,44,2001,39516,97,1400,5,5,85,1060
307,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,41,2001,39439,97,1400,5,5,85,1060
308,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9950,44,2001,39000,97,1400,3,5,69,1025
309,TOYOTA Corolla 1.6 16v VVTi Terra Comfort 2/3-Doors,13500,42,2001,38932,110,1600,3,5,69,1040
310,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11450,37,2001,38812,97,1400,3,5,69,1025
311,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12450,42,2001,38665,110,1600,5,5,85,1075
312,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,2001,38653,110,1600,5,5,85,1080
313,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13995,44,2001,38461,110,1600,5,5,85,1080
314,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11750,42,2001,38078,97,1400,3,5,69,1025
315,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11650,39,2001,37782,97,1400,5,5,85,1060
316,TOYOTA Corolla 1.4 16V VVT I HATCHB SOL 2/3-Doors,9950,43,2001,37576,97,1400,3,5,69,1030
317,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13950,41,2001,37533,110,1600,5,5,85,1075
318,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,44,2001,37389,110,1600,5,5,85,1080
319,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,38,2001,37320,97,1400,3,5,69,1025
320,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9900,42,2001,37000,97,1400,3,5,69,1025
321,TOYOTA Corolla 1.6 SDN LINEA TERRA 4/5-Doors,11950,44,2001,37000,110,1600,4,5,19,1075
322,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,11990,40,2001,36566,110,1600,5,5,85,1090
323,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,10750,36,2001,36269,110,1600,5,5,85,1075
324,TOYOTA Corolla 1.6 VVTi Linea terra 4/5-Doors,13950,37,2001,36074,110,1600,5,5,19,1075
325,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11250,44,2001,36066,110,1600,3,5,69,1040
326,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,39,2001,34599,110,1600,5,5,85,1075
327,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,41,2001,34000,110,1600,5,5,85,1075
328,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,42,2001,33623,97,1400,3,5,69,1025
329,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,33,2001,33591,110,1600,5,5,85,1075
330,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12950,35,2001,33258,110,1600,5,5,85,1075
331,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11695,43,2001,33113,110,1600,5,5,85,1075
332,TOYOTA Corolla 1.6v VVT-i Linea Sol 4/5-Doors,11000,41,2001,33000,110,1600,5,6,19,1075
333, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13950,35,2001,32941,110,1600,5,5,85,1080
334,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,38,2001,32781,110,1600,5,5,85,1075
335,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,11750,40,2001,32532,110,1600,3,5,69,1040
336,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12400,34,2001,32431,97,1400,5,5,85,1060
337,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12500,35,2001,32000,110,1600,3,5,69,1040
339,TOYOTA Corolla 1.6I LIFTBACK 4/5-Doors,12900,33,2001,31000,110,1600,5,5,19,1075
340,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,12200,41,2001,30989,110,1600,3,5,69,1045
341,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12750,43,2001,30742,110,1600,3,5,69,1040
342,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,11950,42,2001,30190,110,1600,5,5,85,1075
343,TOYOTA Corolla Liftback 1.6 VVTI 4/5-Doors,11900,41,2001,29716,116,1600,5,5,85,1075
344,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA AUT4 2/3-Doors,11950,44,2001,29716,110,1600,3,5,85,1070
345,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14950,42,2001,29640,110,1600,3,5,85,1055
346, TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11950,41,2001,29056,97,1400,5,5,85,1060
347,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12950,33,2001,28715,110,1600,5,5,85,1075
348, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 4/5-Doors,14950,41,2001,28571,110,1600,5,5,85,1090
349,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,13450,40,2001,28362,110,1600,3,5,69,1040
350,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13750,38,2001,28150,110,1600,5,5,85,1075
351,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,43,2001,27301,110,1600,3,5,69,1040
352, TOYOTA Corolla 1.6 Terra LB Comf. 4/5-Doors,12750,33,2001,27240,110,1600,5,5,85,1075
353,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11895,39,2001,27170,97,1400,5,5,85,1060
354, TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,42,2001,27141,97,1400,5,5,85,1060
355,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,12450,38,2001,26262,110,1600,5,5,85,1075
356,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,12500,38,2001,26000,97,1400,5,5,85,1060
357,TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,14950,43,2001,25228,110,1600,3,5,69,1045
358, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13750,39,2001,25062,110,1600,5,5,85,1080
359,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA AUT4 4/5-Doors,12695,39,2001,24723,110,1600,4,5,85,1060
360,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,14990,33,2001,24650,110,1600,3,5,85,1055
361, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12750,43,2001,24553,110,1600,5,5,85,1080
362, TOYOTA Corolla 1.6 VVTi Terra Comfort 4/5-Doors,14350,41,2001,24475,110,1600,5,5,69,1030
363,TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,12950,39,2001,24444,110,1600,3,5,69,1040
364,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11500,35,2001,24011,97,1400,3,5,69,1025
365,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,2001,24000,97,1400,3,5,69,1025
366,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,13450,40,2001,23616,110,1600,5,5,85,1075
367,TOYOTA Corolla 1.6 16V VVT I LIFTB LUNA 4/5-Doors,12900,38,2001,22865,110,1600,5,5,85,1075
368,TOYOTA Corolla 1.3 16V LIFTB LINEA TERRA 4/5-Doors,10500,41,2001,22780,86,1300,5,5,69,1035
369,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,10950,35,2001,21904,97,1400,3,5,69,1025
370,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,11950,41,2001,21651,97,1400,3,5,69,1025
371,TOYOTA Corolla 1.6 VVTI Linea Terra Comfort 4/5-Doors,11450,37,2001,21500,110,1600,5,5,69,1030
372, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,13250,44,2001,21027,110,1600,5,5,85,1080
373,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10250,39,2001,18500,110,1600,4,5,69,1030
374,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,13995,35,2001,18000,110,1600,5,5,85,1075
375,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,11950,40,2001,17051,97,1400,5,5,85,1060
376,TOYOTA Corolla 1.4 LB LINEA TERRA 4/5-Doors,13250,33,2001,16512,97,1400,5,5,19,1085
377,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,12950,40,2001,16325,110,1600,5,5,85,1080
378,TOYOTA Corolla 1.4 16V VVT I LIFTB LUNA 4/5-Doors,11750,38,2001,16000,97,1400,5,5,85,1060
379,TOYOTA Corolla 1.6 Linea Terra LB 4/5-Doors,11500,39,2001,12000,110,1600,5,5,85,1075
380,TOYOTA Corolla 1.4 VVTI LB 4/5-Doors,13500,43,2001,10000,97,1400,5,5,85,1060
381, TOYOTA Corolla 1.9 D HATCHB SOL 2/3-Doors,6500,53,2000,216000,69,1900,3,5,185,1110
382,TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,6400,51,2000,198167,69,1900,4,5,185,1095
383,TOYOTA Corolla 1.9 D HATCHB TERRA 2/3-Doors,7000,53,2000,176000,69,1900,3,5,185,1105
384,TOYOTA Corolla 2.0 DSL SEDAN LINEA TERRA 4/5-Doors,7750,54,2000,174139,72,2000,4,5,185,1100
385,TOYOTA Corolla 1.9 D Sedan 4/5-Doors,8900,45,2000,174000,69,1900,5,5,185,1095
386,TOYOTA Corolla 1.6 VVTi Linea terra 2/3-Doors,8500,55,2000,150000,110,1600,3,5,72,1075
387,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,8950,54,2000,149329,72,2000,5,5,185,1135
388,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9900,51,2000,146736,110,1600,5,5,85,1080
389,TOYOTA Corolla 1.9 D LIFTB LUNA 4/5-Doors,10250,53,2000,143513,69,1900,5,5,185,1140
390,TOYOTA Corolla 1.6 16V VVT I LIFTB TERRA 4/5-Doors,9250,48,2000,142130,110,1600,5,5,197,1119
391,TOYOTA Corolla 1.9 D WGN LINEA TERRA Stationwagen,7750,48,2000,140700,69,1900,5,5,64,1110
392, TOYOTA Corolla 1.9 D SEDAN TERRA 4/5-Doors,9450,54,2000,138394,69,1900,4,5,185,1095
393,TOYOTA Corolla 2.0 DSL LIFTB LINEA TERRA 4/5-Doors,7750,55,2000,137000,72,2000,5,5,185,1135
394,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,8250,52,2000,135258,69,1900,5,5,185,1140
395,TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9950,49,2000,131364,110,1600,5,5,85,1075
396,TOYOTA Corolla 1.8D Stationwagen,4450,56,2000,129155,69,1800,5,5,64,1110
397, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,9950,50,2000,126110,110,1600,3,5,85,1055
398,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9000,48,2000,119742,110,1600,5,5,85,1080
399,TOYOTA Corolla 1.9 D LB LINEA SOL 4/5-Doors,9950,53,2000,117913,69,1900,5,5,64,1110
400,TOYOTA Corolla 2.0 D4D HATCHB TERRA 2/3-Doors,12450,47,2000,117430,90,2000,3,5,210,1165
401,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10500,55,2000,117175,110,1600,4,5,69,1035
402,TOYOTA Corolla 1.6 16V VVT I SEDAN TERRA 4/5-Doors,10750,54,2000,115558,110,1600,4,5,69,1035
403,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,2000,115113,97,1400,3,5,69,1025
404,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,10500,54,2000,115046,69,1900,5,5,185,1140
405,TOYOTA Corolla 2.0D 4/5-Doors,5150,56,2000,113997,72,2000,5,5,64,1135
406,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,10950,49,2000,107859,97,1400,5,5,85,1060
407,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,9450,52,2000,104805,97,1400,3,5,69,1025
408,TOYOTA Corolla 1.6 16V LIFTB LINEA LUNA 4/5-Doors,9950,54,2000,103454,110,1600,5,5,85,1075
409,TOYOTA Corolla 1.9 D WAGON TERRA Stationwagen,10950,51,2000,103018,69,1900,5,5,185,1140
410,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11900,47,2000,102352,110,1600,5,5,85,1080
411,TOYOTA Corolla 1.4 16V VVT I LIFTB TERRA 4/5-Doors,9950,50,2000,102030,97,1400,5,5,85,1060
412,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,11950,54,2000,101352,110,1600,5,5,85,1080
413,TOYOTA Corolla 1.6 16v TERRA 4/5-Doors,7900,50,2000,99865,110,1600,4,5,69,1035
414, TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10950,52,2000,99323,110,1600,3,5,85,1055
415,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,8950,48,2000,98100,69,1900,5,5,185,1140
416, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,11950,51,2000,98040,110,1600,5,5,85,1080
417,TOYOTA Corolla 1.6 HB SOL 2/3-Doors,10900,49,2000,97600,110,1600,3,5,69,1045
418, TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,9950,55,2000,97234,110,1600,5,5,85,1080
419, TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,9950,51,2000,96135,72,2000,3,5,185,1115
420,TOYOTA Corolla 1.6 16V VVT I LIFTB SOL 4/5-Doors,10950,54,2000,96100,110,1600,5,5,85,1080
421, TOYOTA Corolla 2.0 DSL HATCHB LINEA TERRA 2/3-Doors,8950,55,2000,94401,72,2000,3,5,185,1115
422, TOYOTA Corolla 1.3 16V HATCHB LINEA TERRA 2/3-Doors,8950,55,2000,94122,86,1300,3,5,69,1015
423,TOYOTA Corolla 1.6 16V VVT I HATCHB G6 2/3-Doors,10500,49,2000,91340,110,1600,3,5,85,1055
424,TOYOTA Corolla 1.4 16V VVT I HATCHB TERRA 2/3-Doors,8950,53,2000,90200,97,1400,3,5,69,1025
425,TOYOTA Corolla 1.9 D LIFTB TERRA 4/5-Doors,9250,53,2000,90097,69,1900,5,5,185,1140
426, TOYOTA Corolla LIFTBACK 1.4 VVT-i LINEA TERRA 4/5-Doors,11500,48,2000,89049,97,1400,5,5,85,1060
427, TOYOTA Corolla 1.6 16V VVT I WAGON TERRA Stationwagen,9750,52,2000,89000,110,1600,5,5,85,1075
428, TOYOTA Corolla 1.6 16V VVT I HATCHB TERRA 2/3-Doors,9950,45,2000,87274,110,1600,3,5,69,1040
429, TOYOTA Corolla 1.6 16V VVT I HATCHB SOL 2/3-Doors,11450,49,2000,86221,110,1600,3,5,69,1045
